station_id,year,month,hour,unit,value
1,2021,1,23,m3/s,2426.8
1,2021,1,24,m3/s,2426.8
1,2021,1,25,m3/s,2709.9
1,2021,1,26,m3/s,2709.9
1,2021,1,27,m3/s,2709.9
1,2021,1,28,m3/s,2709.9
1,2021,1,29,m3/s,2709.9
1,2021,1,30,m3/s,2709.9
1,2021,1,31,m3/s,2709.9
1,2021,1,32,m3/s,2709.9
1,2021,1,33,m3/s,2709.9
1,2021,1,34,m3/s,2709.9
1,2021,1,35,m3/s,2709.9
1,2021,1,36,m3/s,2709.9
1,2021,1,37,m3/s,2709.9
1,2021,1,38,m3/s,2709.9
1,2021,1,39,m3/s,2709.9
1,2021,1,40,m3/s,2709.9
1,2021,1,41,m3/s,2709.9
1,2021,1,42,m3/s,2709.9
1,2021,1,43,m3/s,2709.9
1,2021,1,44,m3/s,2709.9
1,2021,1,45,m3/s,2709.9
1,2021,1,46,m3/s,2709.9
1,2021,1,47,m3/s,2709.9
1,2021,1,48,m3/s,2709.9
1,2022,1,1,m3/s,2978.9
1,2022,1,2,m3/s,2978.9
1,2022,1,3,m3/s,2978.9
1,2022,1,4,m3/s,2978.9
1,2022,1,5,m3/s,2978.9
1,2022,1,6,m3/s,2978.9
1,2022,1,7,m3/s,2978.9
1,2022,1,8,m3/s,2978.9
1,2022,1,9,m3/s,2978.9
1,2022,1,10,m3/s,2978.9
1,2022,1,11,m3/s,2978.9
1,2022,1,12,m3/s,2978.9
1,2022,1,13,m3/s,2978.9
1,2022,1,14,m3/s,2978.9
1,2022,1,15,m3/s,2978.9
1,2022,1,16,m3/s,2978.9
1,2022,1,17,m3/s,2978.9
1,2022,1,18,m3/s,2978.9
1,2022,1,19,m3/s,2978.9
1,2022,1,20,m3/s,2978.9
1,2022,1,21,m3/s,2978.9
1,2022,1,22,m3/s,2978.9
1,2022,1,23,m3/s,2978.9
1,2022,1,24,m3/s,2978.9
1,2022,1,25,m3/s,2571.2
1,2022,1,26,m3/s,2571.2
1,2022,1,27,m3/s,2571.2
1,2022,1,28,m3/s,2571.2
1,2022,1,29,m3/s,2571.2
1,2022,1,30,m3/s,2571.2
1,2022,1,31,m3/s,2571.2
1,2022,1,32,m3/s,2571.2
1,2022,1,33,m3/s,2571.2
1,2022,1,34,m3/s,2571.2
1,2022,1,35,m3/s,2571.2
1,2022,1,36,m3/s,2571.2
1,2022,1,37,m3/s,2571.2
1,2022,1,38,m3/s,2571.2
1,2022,1,39,m3/s,2571.2
1,2022,1,40,m3/s,2571.2
1,2022,1,41,m3/s,2571.2
1,2022,1,42,m3/s,2571.2
1,2022,1,43,m3/s,2571.2
1,2022,1,44,m3/s,2571.2
1,2022,1,45,m3/s,2571.2
1,2022,1,46,m3/s,2571.2
1,2022,1,47,m3/s,2571.2
1,2022,1,48,m3/s,2571.2
1,2023,1,1,m3/s,3381.0
1,2023,1,2,m3/s,3381.0
1,2023,1,3,m3/s,3381.0
1,2023,1,4,m3/s,3381.0
1,2023,1,5,m3/s,3381.0
1,2023,1,6,m3/s,3381.0
1,2023,1,7,m3/s,3381.0
1,2023,1,8,m3/s,3381.0
1,2023,1,9,m3/s,3381.0
1,2023,1,10,m3/s,3381.0
1,2023,1,11,m3/s,3381.0
1,2023,1,12,m3/s,3381.0
1,2023,1,13,m3/s,3381.0
1,2023,1,14,m3/s,3381.0
1,2023,1,15,m3/s,3381.0
1,2023,1,16,m3/s,3381.0
1,2023,1,17,m3/s,3381.0
1,2023,1,18,m3/s,3381.0
1,2023,1,19,m3/s,3381.0
1,2023,1,20,m3/s,3381.0
1,2023,1,21,m3/s,3381.0
1,2023,1,22,m3/s,3381.0
1,2023,1,23,m3/s,3381.0
1,2023,1,24,m3/s,3381.0
1,2023,1,25,m3/s,3562.3
1,2023,1,26,m3/s,3562.3
1,2023,1,27,m3/s,3562.3
1,2023,1,28,m3/s,3562.3
1,2023,1,29,m3/s,3562.3
1,2023,1,30,m3/s,3562.3
1,2023,1,31,m3/s,3562.3
1,2023,1,32,m3/s,3562.3
1,2023,1,33,m3/s,3562.3
1,2023,1,34,m3/s,3562.3
1,2023,1,35,m3/s,3562.3
1,2023,1,36,m3/s,3562.3
1,2023,1,37,m3/s,3562.3
1,2023,1,38,m3/s,3562.3
1,2023,1,39,m3/s,3562.3
1,2023,1,40,m3/s,3562.3
1,2023,1,41,m3/s,3562.3
1,2023,1,42,m3/s,3562.3
1,2023,1,43,m3/s,3562.3
1,2023,1,44,m3/s,3562.3
1,2023,1,45,m3/s,3562.3
1,2023,1,46,m3/s,3562.3
1,2023,1,47,m3/s,3562.3
